Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
children (7 to 11 years old) with posterior crossbite,quad-helix,expansion plate,Molar expansion measured by intermolar distance,MD,1.48,0.91,2.04,TRUE,151,3,High,NA,FALSE,FALSE,FALSE,FALSE,FALSE
children (7 to 11 years old) with posterior crossbite,quad-helix,expansion plate,Canine expansion measured by intercanine distance,MD,0.59,0.09,1.08,TRUE,151,3,Low,"Downgraded (2 levels) because there was unexplained inconsistency that was supported by non?overlapping confidence intervals with considerable I² statistic values and statistically significant heterogeneity of effect estimates (Chi² = 13.71, df = 2 (P = 0.001); I² = 85%.",FALSE,FALSE,TRUE,FALSE,FALSE
children (7 to 11 years old) with posterior crossbite,quad-helix,expansion plate,Length of treatment measured in months,MD,-3.15,-4.04,-2.25,TRUE,148,3,Moderate,"Downgraded (1 level) because there was unexplained inconsistency that was supported by substantial I² statistic values and statistically significant heterogeneity of effect estimates (Chi² = 6.37, df = 2 (P = 0.04); I² = 69%).",FALSE,FALSE,TRUE,FALSE,FALSE
children with posterior crossbite,Hyrax,Haas,Crossbite correction,RR,1.05,0.94,1.18,FALSE,83,3,Moderate,Downgraded 1 level for unclear risk of bias in at least 2 domains in one study.,TRUE,FALSE,FALSE,FALSE,FALSE
children with posterior crossbite,Hyrax,Haas,Molar expansion measured by intermolar distance,MD,-0.15,-0.86,0.56,FALSE,46,2,Moderate,Downgraded 1 level for unclear risk of bias in at least 2 domains in one study.,TRUE,FALSE,FALSE,FALSE,FALSE
children with posterior crossbite,Hyrax,Haas,Canine expansion measured by intercanine distance,Not measured,Not measured,Not measured,Not measured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with posterior crossbite,tooth-bone-borne expansion,Hyrax,Crossbite correction,RR,1.02,0.92,1.12,FALSE,120,3,Low,Downgraded 1 level for high risk of bias in 1 domain in one study and 1 level for unclear risk of bias in at least 2 domains in another study.,TRUE,FALSE,FALSE,FALSE,FALSE
children with posterior crossbite,tooth-bone-borne expansion,Hyrax,Molar expansion measured by intermolar distance,MD,0.66,-0.04,1.36,FALSE,65,2,Low,Downgraded 1 level for high risk of bias in 1 domain in one study and 1 level for unclear risk of bias in at least 2 domains in another study.,TRUE,FALSE,FALSE,FALSE,FALSE
children with posterior crossbite,tooth-bone-borne expansion,Hyrax,Canine expansion measured by intercanine distance,Not measured,Not measured,Not measured,Not measured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with posterior crossbite,bone-borne expansion,tooth?borne expansion,Crossbite correction,RR,1,0.94,1.07,FALSE,81,2,Low,"Downgraded 1 level for high risk of bias in 1 domain in one study, 1 level for unclear risk of bias in at least 2 domains in one study.",TRUE,FALSE,FALSE,FALSE,FALSE
children with posterior crossbite,bone-borne expansion,tooth?borne expansion,Molar expansion measured by inter?molar distance,MD,-0.14,-0.85,0.57,FALSE,81,2,Low,"Downgraded 1 level for high risk of bias in 1 domain in one study, 1 level for unclear risk of bias in at least 2 domains in one study.",TRUE,FALSE,FALSE,FALSE,FALSE
children with posterior crossbite,bone-borne expansion,tooth?borne expansion,Canine expansion measured by inter?canine distance,Not measured,Not measured,Not measured,Not measured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
