review_code,title
CD009603,Oral anticoagulants for prevention of stroke in atrial fibrillation
CD009606,Antimicrobial interventions for preventing ventilator-associated pneumonia
CD009742,Interventions for preventing oral candidiasis for patients with cancer receiving chemotherapy
CD009853,Interventions for dry mouth and hyposalivation in Sjögren's syndrome
CD009857,Interventions for preventing and managing medication-related osteonecrosis of the jaw
CD009858,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD010136,Fluoride supplements for preventing dental caries in children
CD010173,Interventions for preventing osteoradionecrosis of the jaws in adults receiving head and neck radiotherapy
CD010176,Chemotherapy for metastatic pancreatic cancer
CD010229,Interventions for treating oral ulceration in Behçet's disease
CD010263,Interventions for managing medication-related osteonecrosis of the jaw
CD010276,Interventions for preventing oral mucositis in patients with cancer receiving treatment
CD010341,Interventions for treating oral candidiasis for patients with cancer receiving treatment
CD010403,Interventions for preventing dry mouth and salivary gland dysfunction following radiotherapy
CD010431,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD010470,Interventions for managing medication-related osteonecrosis of the jaw
CD010514,Topical fluoride for preventing dental caries in children and adolescents
CD010526,Interventions for preventing oral candidiasis for patients with cancer receiving chemotherapy
CD010535,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD010572,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD010743,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD010856,Interventions for managing medication-related osteonecrosis of the jaw
CD010887,Orthodontic treatment for prominent upper front teeth in children
CD011018,Interventions for treating burning mouth syndrome
CD011024,Dental floss for preventing dental caries and gingivitis
CD011116,Interventions for treating oral ulceration in Behçet's disease
CD011131,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD011385,Interventions for managing medication-related osteonecrosis of the jaw
CD011423,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD011552,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD011559,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD011784,Interventions for managing medication-related osteonecrosis of the jaw
CD011850,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD011930,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD011990,Interventions for managing medication-related osteonecrosis of the jaw
CD012018,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD012155,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD012213,Interventions for managing medication-related osteonecrosis of the jaw
CD012256,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD012293,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD012416,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD012432,Interventions for managing medication-related osteonecrosis of the jaw
CD012568,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD012595,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD012628,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD012744,Interventions for managing medication-related osteonecrosis of the jaw
CD012851,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD012981,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD013039,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD013515,Interventions for managing medication-related osteonecrosis of the jaw
CD013686,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD013806,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
CD013811,Interventions for preventing oral mucositis for patients with cancer receiving treatment
CD013826,Interventions for managing medication-related osteonecrosis of the jaw
CD013855,Interventions for preventing oral candidiasis for patients with cancer receiving treatment
CD014546,Oral hygiene care for critically ill patients to prevent ventilator-associated pneumonia
