Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
children with extensive decay in primary teeth,NaOCl ,ferric sulphate,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,very low,Downgraded 1 level due to high risk of bias and 2 levels due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,laser ,electrosurgery,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,very low,Downgraded 1 level due to high risk of bias and 2 levels due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,MTA ,ferric sulphate,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,very low,"Downgraded 1 level due to high risk of bias, 1 level due to moderate inconsistency and 1 level due to imprecision",TRUE,TRUE,TRUE,FALSE,FALSE
children with extensive decay in primary teeth,ABS ,ferric sulphate,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,very low,Downgraded 1 level due to high risk of bias and 2 levels due to very serious imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,EMD ,formocresol,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,very low,"Downgraded 1 level due to high risk of bias, 1 level due to substantial inconsistency and 1 level due to imprecision",TRUE,TRUE,TRUE,FALSE,FALSE
children with extensive decay in primary teeth,NaOCl ,ferric sulphate,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to substantial inconsistency,TRUE,FALSE,TRUE,FALSE,FALSE
children with extensive decay in primary teeth,MTA ,ferric sulphate,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,Biodentine ,MTA ,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,ferric sulphate,formocresol,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,laser ,ferric sulphate,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,electrosurgery ,ferric sulphate,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,ABS ,ferric sulphate,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,laser ,electrosurgery,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,calcium hydroxide,ferric sulphate (favouring ferric sulphate),"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to high risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,Endoflas,ZOE,Clinical failure (6 months),RR,0.26,0.05,1.5,FALSE,80,2,Moderate,Downgraded 1 level due to imprecision,FALSE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,Endoflas,ZOE,Radiological failure (6 months),RR,0.26,0.05,1.5,FALSE,80,2,Moderate,Downgraded 1 level due to imprecision,FALSE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,Metapex,ZOE,Clinical failure (12 months),RR,0.71,0.15,3.33,FALSE,62,2,Moderate,Downgraded 1 level due to imprecision,FALSE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,Metapex,ZOE,Radiological failure (12 months),RR,1,0.31,3.27,FALSE,62,2,Moderate,Downgraded 1 level due to imprecision,FALSE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,Vitapex ,ZOE (favouring ZOE),Clinical failure,NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 2 levels due to very substantial inconsistency,FALSE,FALSE,TRUE,FALSE,FALSE
children with extensive decay in primary teeth,Vitapex ,ZOE (favouring ZOE),Radiological failure,NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 2 levels due to very substantial inconsistency,FALSE,FALSE,TRUE,FALSE,FALSE
children with extensive decay in primary teeth,calcium hydroxide,ZOE,Radiological failure,NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to substantial inconsistency and 1 level due to imprecision,FALSE,TRUE,TRUE,FALSE,FALSE
children with extensive decay in primary teeth,acetone based total etch adhesive,calcium hydroxide,clinical or radiological failures (0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with extensive decay in primary teeth,MTA ,calcium hydroxide,clinical or radiological failures (0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
children with extensive decay in primary teeth,calcium hydroxide,formocresol (favouring formocrescol),"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,low,Downgraded 1 level due to risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,MTA ,3Mix,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,MTA ,simvastatin (favouring MTA),"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,low,Downgraded 1 level due to risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,3Mix,3Mixtatin,"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,Low,Downgraded 1 level due to risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,3Mixtatin,simvastatin (favouring 3Mixtatin),"Clinical failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,low,Downgraded 1 level due to risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,all other comparisons,all other comparisons,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR, very low,Downgraded 1 level due to risk of bias and 2 levels due to severe imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,calcium hydroxide,formocresol  (favouring formocresol),"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR,low,Downgraded 1 level due to risk of bias and 1 level due to imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,all other comparisons,all other comparisons,"Radiological failure (at six, 12 and 24 months)",NR,NR,NR,NR,NR,NR,NR, very low,Downgraded 1 level due to risk of bias and 2 levels due to severe imprecision,TRUE,TRUE,FALSE,FALSE,FALSE
children with extensive decay in primary teeth,,,"Radiological failure (at six, 12 and 24 months)",,,,,,,,,,,,,,
children with extensive decay in primary teeth,,,,,,,,,,,,,,,,,
