Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Children and adults with mixed levels of ID,"Electric toothbrush (self, carer or carer-assisted brushing)","Manual toothbrush (self, carer or carer-assisted brushing)",Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Gingival inflammation short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Gingival inflammation medium term (6 weeks to 12 months),MD,-0.09,-0.63,0.45,FALSE,99,2,Low,"Downgraded one level due to study design as studies at high risk of bias (one study was a cluster RCT).
Downgraded one level due to heterogeneity as findings were inconsistent between studies.",TRUE,FALSE,TRUE,FALSE,FALSE
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Plaque short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Plaque medium term (6 weeks to 12 months),MD,-0.07,-0.26,0.13,FALSE,99,2,Low,"Downgraded one level due to study design as studies at high risk of bias (one study was a cluster RCT).
Downgraded one level due to study design as index was modified to an extent that it may have impacted on the results.",TRUE,FALSE,FALSE,FALSE,FALSE
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Knowledge medium term (6 weeks to 12 months),MD,0.69,0.31,1.06,TRUE,189,2,Low,"Downgraded one level due to study design as studies at high risk of bias (one study was a cluster RCT).
Downgraded one level due to study design as carer outcomes had high levels of attrition in both studies.",TRUE,FALSE,FALSE,FALSE,FALSE
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,"Behaviour, attitude and self-efficacy (BAS) medium term (6 weeks to 12 months)",MD,0.15,-0.8,1.1,FALSE,189,2,Very low,"Downgraded one level due to study design as studies at high risk of bias (one study was a cluster RCT).
Downgraded one level due to heterogeneity as findings were inconsistent between studies.
Downgraded one level due to study design as carer outcomes had high levels of attrition in both studies.",TRUE,FALSE,TRUE,FALSE,FALSE
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with mixed levels of ID (age range unclear),Training of carers,No training of carers,Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,Gingival inflammation short term (< 6 weeks),MD,-0.28,-0.9,0.34,FALSE,10,1,Very low,Downgraded two levels for imprecision and one for study design: based on the findings of one study at unclear risk of bias with only 10 participants and wide confidence intervals.,TRUE,TRUE,FALSE,FALSE,FALSE
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,Gingival inflammation medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,Plaque short term (< 6 weeks),MD,-0.47,-0.92,-0.02,TRUE,10,1,Very low,Downgraded two levels for imprecision and one for study design: based on the findings of one study at unclear risk of bias with only 10 participants and wide confidence intervals.,TRUE,TRUE,FALSE,FALSE,FALSE
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,Plaque medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,"Behaviour, attitude and self-efficacy medium and long term (6 weeks to > 12 months)",NA,NA,NA,NA,NA,59,4,Very low,"Downgraded three levels due to study design: based on NRS, with no control groups and all studies were at high risk of bias.",TRUE,FALSE,FALSE,FALSE,FALSE
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Children and adults with mild to profound ID,Oral hygiene training (toothbrushing routine),No oral hygiene training,Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Gingival inflammation short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Gingival pocketing long term (> 12 months),MD,-0.6,-0.97,-0.23,TRUE,304,1,Low,"Downgraded one level for imprecision and one for study design: based on one study at unclear risk of bias, with wide confidence intervals.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Gingival bleeding long term (> 12 months),MD,-0.2,-0.86,0.46,FALSE,304,1,Low,"Downgraded one level for imprecision and one for study design: based on one study at unclear risk of bias, with wide confidence intervals.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Plaque short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Plaque long term (> 12 months),MD,-0.7,-1.28,-0.12,TRUE,304,1,Low,"Downgraded one level for imprecision and one for study design: based on one study at unclear risk of bias, with wide confidence intervals.",TRUE,TRUE,FALSE,FALSE,FALSE
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adults (mean age 30.9 years) (level of ID unclear),"Scheduled dental visits (oral hygiene instruction, with or without scale and polish), with supervised daily toothbrushing by carers","Usual care (""no specific treatment"")",Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with ID (level of ID and age unclear),Discussion of clinical photographs as OH motivators and OH instruction at monthly intervals,"No discussion of clinical photographs, but did receive OH instruction at monthly intervals",Gingival inflammation short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with ID (level of ID and age unclear),Discussion of clinical photographs as OH motivators and OH instruction at monthly intervals,"No discussion of clinical photographs, but did receive OH instruction at monthly intervals",Gingival inflammation medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with ID (level of ID and age unclear),Discussion of clinical photographs as OH motivators and OH instruction at monthly intervals,"No discussion of clinical photographs, but did receive OH instruction at monthly intervals",Plaque short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with ID (level of ID and age unclear),Discussion of clinical photographs as OH motivators and OH instruction at monthly intervals,"No discussion of clinical photographs, but did receive OH instruction at monthly intervals",Plaque medium term (6 weeks to 12 months),MD,-0.1,-0.85,0.65,FALSE,29,1,Very low,"Downgraded two levels for imprecision and one for study design: single study at high risk of bias, with wide confidence intervals.",TRUE,TRUE,FALSE,FALSE,FALSE
People with ID (level of ID and age unclear),Discussion of clinical photographs as OH motivators and OH instruction at monthly intervals,"No discussion of clinical photographs, but did receive OH instruction at monthly intervals",Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with ID (level of ID and age unclear),Discussion of clinical photographs as OH motivators and OH instruction at monthly intervals,"No discussion of clinical photographs, but did receive OH instruction at monthly intervals",Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People with ID (level of ID and age unclear),Discussion of clinical photographs as OH motivators and OH instruction at monthly intervals,"No discussion of clinical photographs, but did receive OH instruction at monthly intervals",Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
People aged 15 to 30 years with mixed levels of ID,Daily toothbrushing by dental student,Twice-weekly or once-weekly toothbrushing by dental student,Gingival inflammation short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,Daily toothbrushing by dental student,Twice-weekly or once-weekly toothbrushing by dental student,Gingival inflammation medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,Daily toothbrushing by dental student,Twice-weekly or once-weekly toothbrushing by dental student,Plaque short term (< 6 weeks),NA,NA,NA,NA,NA,80,1,Low,Downgraded two levels for imprecision: single small study with no standard deviation data reported.,FALSE,TRUE,FALSE,FALSE,FALSE
People aged 15 to 30 years with mixed levels of ID,Daily toothbrushing by dental student,Twice-weekly or once-weekly toothbrushing by dental student,Plaque medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,Daily toothbrushing by dental student,Twice-weekly or once-weekly toothbrushing by dental student,Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,Daily toothbrushing by dental student,Twice-weekly or once-weekly toothbrushing by dental student,Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,Daily toothbrushing by dental student,Twice-weekly or once-weekly toothbrushing by dental student,Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
People aged 15 to 30 years with mixed levels of ID,toothpaste with a plaque‐disclosing agent,conventional toothpaste,Gingival inflammation short term (< 6 weeks),NA,NA,NA,NA,NA,80,1,Very low,"Downgraded three levels due to study design: single non‐randomised study at unclear risk of bias, with no standard deviation reported.
The results of each arm in the cross‐over trial were combined.",TRUE,TRUE,FALSE,TRUE,FALSE
People aged 15 to 30 years with mixed levels of ID,toothpaste with a plaque‐disclosing agent,conventional toothpaste,Gingival inflammation medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,toothpaste with a plaque‐disclosing agent,conventional toothpaste,Plaque short term (< 6 weeks),NA,NA,NA,NA,NA,80,1,Very low,"Downgraded three levels due to study design: single non‐randomised study at unclear risk of bias, with no standard deviation reported.
The results of each arm in the cross‐over trial were combined.",TRUE,TRUE,FALSE,TRUE,FALSE
People aged 15 to 30 years with mixed levels of ID,toothpaste with a plaque‐disclosing agent,conventional toothpaste,Plaque medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,toothpaste with a plaque‐disclosing agent,conventional toothpaste,Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,toothpaste with a plaque‐disclosing agent,conventional toothpaste,Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,toothpaste with a plaque‐disclosing agent,conventional toothpaste,Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
People aged 15 to 30 years with mixed levels of ID,individualised care plans based on a multidisciplinary assessment,"usual care ‐ continued regular oral hygiene care, which was supported by a carer following institution's standard guidelines",Gingival inflammation short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,individualised care plans based on a multidisciplinary assessment,"usual care ‐ continued regular oral hygiene care, which was supported by a carer following institution's standard guidelines",Gingival inflammation medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,individualised care plans based on a multidisciplinary assessment,"usual care ‐ continued regular oral hygiene care, which was supported by a carer following institution's standard guidelines",Plaque short term (< 6 weeks),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,individualised care plans based on a multidisciplinary assessment,"usual care ‐ continued regular oral hygiene care, which was supported by a carer following institution's standard guidelines",Plaque medium term (6 weeks to 12 months),NA,NA,NA,NA,NA,79,1,Very low,"Downgraded three levels due to study design: non‐randomised study at high risk of bias, use of subjective assessment tool and no standard deviation data reported.",TRUE,TRUE,FALSE,TRUE,FALSE
People aged 15 to 30 years with mixed levels of ID,individualised care plans based on a multidisciplinary assessment,"usual care ‐ continued regular oral hygiene care, which was supported by a carer following institution's standard guidelines",Quality of life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,individualised care plans based on a multidisciplinary assessment,"usual care ‐ continued regular oral hygiene care, which was supported by a carer following institution's standard guidelines",Dental caries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
People aged 15 to 30 years with mixed levels of ID,individualised care plans based on a multidisciplinary assessment,"usual care ‐ continued regular oral hygiene care, which was supported by a carer following institution's standard guidelines",Adverse effects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
