Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
adults with mandibular third molars requiring removal,Primary wound closure,Secondary wound closure,"Permanent altered tongue, chin, or lip sensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adults with mandibular third molars requiring removal,Primary wound closure,Secondary wound closure,Adverse effects ? reactionary bleeding,RR,0.41,0.11,1.47,FALSE,82,1,Very low,Certainty of evidence downgraded three times due to single study with imprecision.,TRUE,TRUE,FALSE,FALSE,FALSE
adults with mandibular third molars requiring removal,horizontal mattress/fibrin sealant,conventional suturing,Alveolar osteitis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,horizontal mattress/fibrin sealant,conventional suturing,Wound infection,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,horizontal mattress/fibrin sealant,conventional suturing,"Permanent altered tongue, chin, or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,horizontal mattress/fibrin sealant,conventional suturing,Adverse effects ? reactionary bleeding,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,drain (tube drain or gauze drain),no drain,Alveolar osteitis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,drain (tube drain or gauze drain),no drain,Wound infection,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,drain (tube drain or gauze drain),no drain,"Permanent altered tongue, chin, or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,drain (tube drain or gauze drain),no drain,Adverse effects ? reactionary bleeding,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,wound closure with blood products (PRF),conventional method,Alveolar osteitis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,wound closure with blood products (PRF),conventional method,Wound infection,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,wound closure with blood products (PRF),conventional method,"Permanent altered tongue, chin, or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,wound closure with blood products (PRF),conventional method,Adverse effects ? reactionary bleeding,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,coronectomy,complete extraction,Alveolar osteitis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,coronectomy,complete extraction,Wound infection,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,coronectomy,complete extraction,"Permanent altered tongue, chin, or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
adults with mandibular third molars requiring removal,coronectomy,complete extraction,Adverse effects ? reactionary bleeding,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
