Population,Intervention,Comparison,Outcome,Measure,Effect,CI Lower,CI Upper,Significant,Number of participants,Number of studies,Certainty of the evidence (GRADE),Reasons for GRADE if not High,Risk of bias,Imprecision,Inconsistency,Indirectness,Publication bias
Adults with mandibular third molars requiring removal,Primary (complete) wound closure,Secondary (partial) wound closure,Infection,RR,4.77,0.24,96.34,FALSE,82,1,Very low,"Quality of evidence has been downgraded 3 times due to unclear risk of bias, single study and imprecision",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Primary (complete) wound closure,Secondary (partial) wound closure,Pain (after 24 hours),MD,0.79,0.35,1.24,TRUE,414,4,Moderate,Quality of evidence has been downgraded because these studies are at unclear or high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Primary (complete) wound closure,Secondary (partial) wound closure,Swelling (after 7 days),MD,0.66,0.26,1.07,TRUE,555,7,Moderate,Quality of evidence has been downgraded because these studies are at unclear or high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Primary (complete) wound closure,Secondary (partial) wound closure,Maximum mouth opening (after 7 days),SMD,-0.14,-0.41,0.13,FALSE,214,3,Low,Quality of evidence has been downgraded because these studies are at unclear or high risk of bias. Quality of evidence has been further downgraded because the estimate is imprecise (confidence intervals include both a benefit and a possible harm),TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Primary (complete) wound closure,Secondary (partial) wound closure,Adverse effects - reactionary bleeding,RR,0.41,0.11,1.47,FALSE,82,1,Very low,"Quality of evidence has been downgraded 3 times due to unclear risk of bias, single study and imprecision",TRUE,TRUE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Drain (tube drain or gauze drain),No drain,Alveolar osteitis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Drain (tube drain or gauze drain),No drain,Infection,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Drain (tube drain or gauze drain),No drain,"Permanent tongue, chin or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Drain (tube drain or gauze drain),No drain,"Tempoary tongue, chin or lip sensation",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Adults with mandibular third molars requiring removal,Drain (tube drain or gauze drain),No drain,Pain (after 24 hours),MD,0,-0.34,0.34,FALSE,100,1,Low,Quality of evidence downgraded (2 steps) because there was a single study at high risk of bias reporting this outcome,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Drain (tube drain or gauze drain),No drain,Swelling (after 7 days),MD,-0.9,-1.62,-0.19,TRUE,201,5,Moderate,Quality of evidence downgraded because all 7 studies were at either high or unclear risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Drain (tube drain or gauze drain),No drain,Maximum mouth opening (after 7 days),MD,3.72,2.84,4.59,TRUE,123,2,Moderate,Quality of evidence downgraded (1 step) because both studies were at high risk of bias,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Coronectomy,Complete extraction,Alveolar osteitis,NA,NA,NA,NA,NA,359,2,Low,Studies at high risk of bias and data presented had unit of analysis errors,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Coronectomy,Complete extraction,Infection,NA,NA,NA,NA,NA,359,2,Low,Studies at high risk of bias and data presented had unit of analysis errors,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Coronectomy,Complete extraction,Alveolar nerve damage,NA,NA,NA,NA,NA,359,2,Low,Studies at high risk of bias and data presented had unit of analysis errors,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Coronectomy,Complete extraction,Postoperative pain,NA,NA,NA,NA,NA,359,2,Low,Studies at high risk of bias and data presented had unit of analysis errors,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Coronectomy,Complete extraction,Swelling,NA,NA,NA,NA,NA,359,2,Low,Studies at high risk of bias and data presented had unit of analysis errors,TRUE,FALSE,FALSE,FALSE,FALSE
Adults with mandibular third molars requiring removal,Coronectomy,Complete extraction,Maximum mouth opening,NA,NA,NA,NA,NA,359,2,Low,Studies at high risk of bias and data presented had unit of analysis errors,TRUE,FALSE,FALSE,FALSE,FALSE
